TITLE,CATEGORY,TARGET
Rosie O'Donnell Rumored To Be Officially Returning To 'The View',e,0
FDA approves immunotherapy tablet to gradually reduce grass allergies,m,3
Picasso 3,e,0
Entrain: Boost Jet-Lag Recovery Using Math,m,3
Lawmakers grill General Motors CEO over recall delay,t,1
Physical Fitness During Old Age Helps Reduce Risk of Reduced Mobility,m,3
VIDEO: HP May Cut Up To 16000 More Jobs As Results Disappoint,b,2
Amaya Gaming nears deal to acquire PokerStars,b,2
Why researchers think Wikipedia can track the flu,m,3
Noah: Film Review,e,0
PTC Therapeutics Inc. (PTCT) Is Up Sharply On CHMP Opinion,m,3
US Supreme Court clears a path to lawsuit over Google's Street View wiretaps,t,1
Lenders conclude Greek Cypriot mission,b,2
UN: Warming worsens security woes,t,1
Bank Stocks Are About to Get Much More Attractive,b,2
Poland: German reliance on Russian gas threatens Europe,b,2
Mother uses body as 'human speed bump' to save twin daughters in runaway car,m,3
Paramedic Has Amazing Time Driving Ambulance [VIDEO],m,3
Affordable health care information session,m,3
Biotech Plunging With Netflix as Traders Sell Winners,b,2
"Gold steady, seen vulnerable after strong US jobs data",b,2
The Audi TT Offroad Concept Is The Big Future Of Audi's Little Coupe,t,1
Don't panic: Health groups working to contain Ebola epidemic in Guinea,m,3
Florida reports the second case of MERS virus in the US,m,3
Polio-free Bangladesh,m,3
Deals with China must come with a warning,b,2
Microsoft criticized for reading client's Hotmail in email leak case,t,1
Jenners stand out at MuchMusic Awards,e,0
"Spreading polio a global threat, WHO says",m,3
"Cargill closing Milwaukee slaughterhouse, cutting 600 jobs",b,2
Couple charged after 'overdosing on heroin as their children played at McDonald's',m,3
Ebola outbreak: WHO calls on border countries to ...,m,3
“Ask the Experts” Breast Cancer Medical Update,m,3
"Marijuana Vending Machines, Really?",b,2
"Overprescription Of Antibiotics For Acute Bronchitis Up 70%, Despite CDC  ...",m,3
Billionaire Ex-Wife Gets $4.5 Billion In 'Most Expensive Divorce In History',b,2
Kim Kardashian Finally Gets Her Vogue Cover?!?,e,0
"Robots At Tokyo Museum, Kodomoroid And Otonaroid Look Eerily Human  ...",t,1
"Urban Outfitters Profit, Margins, Sales Fall Short",b,2
US shares and greenback rally on Yellen comments,b,2
The First Footage From 'Teenage Mutant Ninja Turtles' Is Here!,e,0
'Game Of Thrones' Season 4 Spoilers: New Purple Wedding Feature And  ...,e,0
"Total posts profit fall, yet to assess sanctions impact",b,2
The largest Norovirus was reviewed by the CDC due to the large outbreak,m,3
Rising CO2 may cut nutrient levels in crops: study,m,3
Facebook expands privacy checkup tool,t,1
EPA Takes Crack At Fracking,b,2
U.S. Health Care System Ranks Lowest In International Survey,m,3
Frank Stanford's comment Tuesday July 29 2014,m,3
Michigan man among 1st in US to get 'bionic eye' to help with retinitis pigmentosa,m,3
Curiosity snaps first asteroid photo from Red Planet,t,1
Glee Recap: End of an Era,e,0
Alien: Isolation pre-order bonus sees the return of Ellen Ripley,e,0
Guardians Of The Galaxy Review [2],e,0
"Rapper cuts off penis, survives jump from apt",e,0
Drinkable Sunscreen? Skeptics Say Osmosis' Claim Hard To Swallow,m,3
Five things to know about Alibaba,b,2
Internet Explorer bug lets hackers control your PC; Homeland Security says 'use  ...,t,1
"As media landscape gets tougher, Murdoch goes large",b,2
"Now, Wikipedia to get flu-related data for you",m,3
'How I Met Your Mother': How did the long-running sitcom end? (+video),e,0
"OnePlus confirms launch territories, pricing for the One",t,1
FDA action on e-cigarettes could help curb problems in Utah,m,3
'Extinct human gene helped Tibetans survive high altitudes',t,1
"1 In 68 Children, Or 1.2 Million Americans, Have Autism, CDC Says",m,3
Global Business Leaders and Ministers Pledge Action on Climate and Energy,t,1
'We're not backing down': More than 100 arrested during protest at McDonald's HQ,b,2
Justin Bieber Apologizes for Making Racist Joke at 15,e,0
Samsung Galaxy Tab S 10.5,t,1
"New York Times Paywalls Getting Higher, Pricier",t,1
"BBM app updated with sticker support, group photo-sharing, and more",t,1
Officials Rescind Report Of MERs Spread In US,m,3
CDC: MERS patient traveled to Orlando,m,3
"Kevin Bacon remaking Footloose on the Tonight Show, Jump Back",e,0
CDC Study Shows Syphilis on the Rise in Gay and Bisexual Men,m,3
First US MERS patient doing well; contacts healthy so far,m,3
Obamacare enrollment hits 5 million mark with deadline two weeks away,b,2
Microsoft shows off real-time Skype translator,t,1
Small Taxes That Create Big Costs,b,2
Aust dollar weaker in early trade,b,2
BlackBerry's revenue plummets 64% as BB OS 10 struggles,b,2
Sarepta Soars on Eteplirsen Submission Plans - Analyst Blog,m,3
AbbVie and Shire come to terms on a $55B union,b,2
Most Americans agree with medical conspiracy theories,m,3
Justin Bieber apologizes for 5-year-old video of racist joke: 'I was a kid then',e,0
"AT&T to Take on Netflix, Hulu With New Video Streaming Service",b,2
America's Fattest And Thinnest Cities: Find Out Where Your City Falls,m,3
Star Trek Actress Disowns Documentary She Appears In Promoting Bad Science,e,0
Menino Plans To Keep Busy While Receiving Cancer Treatment,m,3
PM/AM: An Open-Source Tesla,t,1
"Samsung launches Galaxy Tab S 10.5, 8.4 with AMOLED display",t,1
Low blood sugar may make married people lash out at their spouses,m,3
Nikkei hits three-week high on weak yen,t,1
Beware of these 5 claims carmakers make,t,1
Miley Cyrus' Tour Bus Went Up In Flames Last Night! See Video Footage From  ...,e,0
Herbalife Pushes 'All-In' On Reckless Share Buyback,b,2
Lot of Expectations from Gilead's Novel Drug for Hepatitis C,m,3
Michael Jackson Brother Displeased on Michael's “Xscape” Album,e,0
European Markets Gain,b,2
Harrison Ford Injured On The Set Of Star Wars,e,0
Eight is great as Mario Kart gears up to save Wii U,t,1
'Field of Dreams' hosts 25th anniversary in Iowa,e,0
Get X-cited. New X-Men Days of Future Past trailer hits net,e,0
HTC Brings Accessories Galore For The HTC One M8,t,1
Hospital-Acquired Infection Rate At 4% And Falling: What Dangers Still Linger?,m,3
Apple Eyeing for iPhone with “Super Resolution” Cameras,t,1
"Google's drone-maker purchase makes sense, but it's still terrifying",t,1
Tom Morello backstage at the 2014 Rock and Roll Hall of Fame ceremony,e,0
Saturated fat role in heart disease again questioned: What diet works?,m,3
'Google Now' Comes to the Chrome Browser,t,1
'A Hard Day's Night': It was 50 years ago today that The Beatles taught the film  ...,e,0
E-cigarettes are 'helpful' for smokers trying to quit,m,3
Fla. eye doctor received almost $21 million from Medicare,m,3
FAA proposes to fine Southwest Airlines $12 million,b,2
Allergan's (AGN) CEO David Pyott on Valeant's Proposal (Transcript) (AGN),b,2
BofA to pay $9.3 bn to settle mortgage bond claims,b,2
Aaron Swartz Documentary Hits Theaters June 27,t,1
Tom Brady and Gisele reportedly selling massive Los Angeles mansion,e,0
Mass. allows 11 pot dispensaries to move forward,m,3
Songza Bought By Google,t,1
New research finds no link between saturated fat and heart disease,m,3
Opinion: Time to debunk the mammography myth,m,3
'Big Bang Theory' production on hold amid contract dispute,e,0
America's Sweetheart: Taylor Swift Visits Fans At Cancer Center In NY (PHOTOS),m,3
Kim Kardashian - Kim Kardashian Vows To Fight Racism,e,0
First Offical Shot Of Costumed Henry Cavill In Batman V Superman: Dawn Of  ...,e,0
Toddler Taking First Steps After Leg Amputation Says 'I Got It!' (VIDEO),m,3
Tesla Charges Ahead With Plans for Huge Battery 'Gigafactory' in US,t,1
BlackBerry wins sales injunction against Typo keyboard case,t,1
Amazon feud irks authors,b,2
"VIDEO: Topless woman ransacks Florida McDonald's, helps herself to ice cream",m,3
Young girls likely to become obese if called 'fat',m,3
YouTube is building a site for kids under 10,t,1
Wyre: Foster mothering is a heart job,e,0
Tribeca Film Festival closing strong,e,0
UCLA leading the way for improved stroke treatment,m,3
April Fools' Day roundup: 7 hoaxes not fooling anyone today,t,1
More than 100 arrested in global crackdown on peeping tom malware,t,1
Study backs nonsurgical way to fix heart valves,m,3
Finally The World s First Dialysis Machine for Kids is Here,m,3
Asteroids 'causing nuclear-scale explosions above Earth',t,1
Mother's Day Highlights May for 100th Year,e,0
Wyatt Earp's Colt .45 sells for $225K,e,0
Mozilla uproar questions 'tolerance': Column,t,1
WHO Fears Ebola Outbreak Could Infect 20000 People,m,3
Medtronic buys Covidien,b,2
"Facebook Says Paper Users Browse 80 Stories A Day, Updates It To Be A More  ...",t,1
Solange Illuminati Hoax: Solange Knowles 'Admitted to Psychiatric Hospital After  ...,e,0
Xbox One is Coming to China,t,1
Briefcase,t,1
"Breaking: The FCC Website. As In, Your Net Neutrality Comments Broke It!",t,1
"Samsung Galaxy Tab S 10.5 and 8.4 announced – Price, Features, and  ...",t,1
FDA clears robotic legs that help paraplegics walk,m,3
The human nose knows more than 1 trillion scents,m,3
Gas Prices Highest In Six Years,b,2
UPDATE: FCC's new net neutrality proposal: What do we really know?,t,1
Pfizer gives up $117 billion pursuit of AstraZenaca,b,2
Joan Rivers apology sought by women held captive in Ohio,e,0
"US businesses boost stockpiles 0.6 percent in April, largest gain in 6 months as  ...",b,2
"Drake Disses Macklemore At The ESPYS, Mocks His Music And Grammy Win",e,0
"Biodegradable scaffolding material, seeded with a test subject's cells and sewn  ...",m,3
"30 Year Mortgage Rates at Quicken Loans, US Bankcorp Mar 23",b,2
"FCA fines Barclays 26 mln pounds for gold fix, former trader banned",b,2
FCC tries 'commercially reasonable' net neutrality compromise,t,1
Drive through the last days of Jesus for Easter,e,0
Energy change is key to meeting UN climate goal - panel,t,1
Province works to prevent measles outbreak,m,3
Franken: Proposed net neutrality rules 'deeply disappointing and very troubling',t,1
HTC One M8 and One M7 Android L Update to Arrive 90 Days After Release,t,1
"Microsoft bills new Surface tablet as laptop-killer, aiming at Apple",t,1
"Cyber Scammers Still Beating the Good Guys, Survey Finds",t,1
The Bang In The Big Bang,t,1
"For The First Time, Astronomers Find Asteroids Can Have Rings",t,1
True Love! Kanye West Surprises Kim K. With Lana Del Rey Performance During  ...,e,0
People urged not to isolate autistic children,m,3
"Imagine That: 45 Days After Predicted 'Irreversible Collapse,' Antarctic Sea Ice  ...",t,1
Saudi MERS deaths top 100 fuelling public fears,m,3
The FCC's Net Neutrality Proposal: Why It Stinks and How It Could Affect You,t,1
Gold firm on fund inflows as worry about Ukraine provides support,b,2
"Southwest, AA Executives Say Prospects Good for Carriers",b,2
Study examines link between recalling alcohol brands in popular music and  ...,m,3
Katie Holmes Looks Amazing in Glamour,e,0
AbbVie raises bid for drugmaker rival Shire to £51.15 a share,b,2
Damning report reveals Samsung's history of stealing and why Apple has  ...,t,1
"Netflix raises streaming prices by $1, but current members don't have to pay it  ...",t,1
GM announces three new recalls,b,2
Gwyneth Paltrow wanted to keep her separation private?,e,0
"Powdered booze, overlooked by feds, gets banned",e,0
'I wish we had spoken about it more' Robert DeNiro opens up about gay father,e,0
California Foster Chicken recalled over outbreak of Salmonella,m,3
GM Design VP to Make Cameo Appearance in Transformers 4 [Video],e,0
Monday is the deadline to sign up for coverage under Obama health law,b,2
Jimmy Fallon Sings 'Let It Go' As Vladimir Putin (Video),e,0
FX round-up: Dollar rises after soft German inflation numbers,b,2
Virtual Reality – not only for humans?,t,1
"Exchange Enrollment Reaches 7.5M Under ACA, Sebelius Says",m,3
Clarkson inspired to help others with fight,m,3
graphic designer massimo vignelli has died aged 83,e,0
Astronomers possibly sight first exomoon,t,1
Here's What Chinese Military Cyber Hackers Allegedly Stole From US Companies,b,2
Could Existing Drugs Be Used to Treat Deadly MERS Virus?,m,3
Retired Las Vegas officer reveals Tupac's last words,e,0
Argentina's Possible Default Will Shape Future Investment Decisions,b,2
Did Spate of Wet Weather Fuel the Reign of Genghis Khan?,t,1
Eminem reconciles with his mom in new video,e,0
"Netflix confirms European expansion, adds 6 countries",b,2
FDA warns aspirin may not be for everyone,m,3
Brother Wease: 'Jim Kelly can beat it',m,3
Watch Air Quality Above U.S. Cities Clear Up in Seconds,t,1
RPT-BOJ's Iwata says will adjust policy if economy overheats,b,2
Justice probes GM response to ignition flaw,b,2
"'Bachelorette' contestant with ties to Warminster, Blue Bell shares experience",e,0
Industry Analyst Jeff Kagan on CTIA Smartphone Anti-Theft Voluntary  ...,t,1
"Saudi Arabia records 2 more deaths, new infections from potentially fatal MERS  ...",m,3
Johnson & Johnson Withdraws a Surgical Tool That Can Spread Cancer in  ...,m,3
Yale student told to bulk up or get out,m,3
Running Your Home From Your iPhone,t,1
Consumer Reports slams big fast-food chains in ratings,b,2
Eminem And Rihanna Set For Huge Performance Of 'The Monster' At MTV Movie  ...,e,0
HTC Butterfly To Get Android 4.4 Update Soon,t,1
"'Ununseptium,' heaviest metal ever, confirmed by scientists",t,1
Companies summoned in warehouse death,m,3
X-Men director Bryan Singer accused of sexual abuse,e,0
Chinese premier: 'Zero tolerance' for corruption',b,2
"Crumbs Cupcakes Crumbles, Alcoa Kicks Off Earnings Season, and Small-Biz  ...",b,2
"Paying tribute to Mr. Awesome: Celebrities pose with self-portrait of boy, 7, who  ...",m,3
Whooping Cough Epidemic Hits California,m,3
Google working on health data service Google Fit: Report,t,1
Around 41 million Americans hitting the road for 4th of July,b,2
Low-Dose Aspirin could Reduce Risk of Developing pancreatic Cancer,m,3
"UPDATE 1-Ohio mumps outbreak at 63 cases, spreads beyond university",m,3
Busy Week For Traders Ahead Of The FOMC,b,2
Tesco boss Philip Clarke determined to see turnaround of Tesco through,b,2
Can Americans Be Trusted to Oversee School Lunches Themselves?,m,3
BlackBerry chief John Chen to release first phone,t,1
"Watch video: Jay Z attacked by Beyonce's sister Solange, hotel decries video leak",e,0
Watch Opening Sequence of Watch Dogs and Be Amazed,t,1
Avago Technologies to acquire PLX,b,2
"Mustang: 50 years of daring moves, dirty secrets",t,1
